tram_id,source_station,destination_station,start_time,end_time,Duration,distance,Day
90,Parnell,Bride's Glen,13:20,14:10,00:50,20,MON-FRI
91,Broombridge,Sandyford,13:27,14:12,00:45,20,MON-FRI
92,Parnell,Bride's Glen,13:33,14:23,00:50,20,MON-FRI
93,Broombridge,Sandyford,13:40,14:25,00:45,20,MON-FRI
94,Parnell,Bride's Glen,13:46,14:35,00:49,20,MON-FRI
95,Broombridge,Sandyford,13:53,14:38,00:45,20,MON-FRI
96,Parnell,Bride's Glen,13:59,14:39,00:40,20,MON-FRI
97,Broombridge,Sandyford,14:06,14:51,00:45,20,MON-FRI
98,Parnell,Bride's Glen,14:12,15:02,00:50,20,MON-FRI
99,Broombridge,Sandyford,14:19,15:04,00:45,20,MON-FRI
100,Parnell,Bride's Glen,14:25,15:15,00:50,20,MON-FRI
101,Broombridge,Sandyford,14:32,15:17,00:45,20,MON-FRI
102,Parnell,Bride's Glen,14:38,15:28,00:50,20,MON-FRI
103,Broombridge,Sandyford,14:45,15:30,00:45,20,MON-FRI
104,Parnell,Bride's Glen,14:51,15:41,00:50,20,MON-FRI
105,Broombridge,Bride's Glen,14:58,16:01,01:03,20,MON-FRI
106,Parnell,Bride's Glen,15:04,15:54,00:50,20,MON-FRI
107,Broombridge,Bride's Glen,15:11,16:14,01:03,20,MON-FRI
108,Parnell,Bride's Glen,15:17,16:07,00:50,20,MON-FRI
109,Broombridge,Bride's Glen,15:24,16:09,00:45,20,MON-FRI
110,Parnell,Bride's Glen,15:30,16:20,00:50,20,MON-FRI
111,Broombridge,Bride's Glen,15:38,16:23,00:45,20,MON-FRI
112,Parnell,Bride's Glen,15:43,16:33,00:50,20,MON-FRI
113,Broombridge,Bride's Glen,15:50,16:53,01:03,20,MON-FRI
114,Parnell,Bride's Glen,15:56,16:46,00:50,20,MON-FRI
115,Broombridge,Bride's Glen,16:03,16:50,00:47,20,MON-FRI
116,Parnell,Bride's Glen,16:09,17:00,00:51,20,MON-FRI
117,Broombridge,Sandyford,16:12,17:00,00:48,20,MON-FRI
118,Broombridge,Bride's Glen,16:18,17:25,01:07,20,MON-FRI
119,Parnell,Bride's Glen,16:21,17:14,00:53,20,MON-FRI
120,Broombridge,Bride's Glen,16:28,17:35,01:07,20,MON-FRI
121,Broombridge,Sandyford,16:32,17:21,00:49,20,MON-FRI
122,Parnell,Sandyford,16:36,17:12,00:36,20,MON-FRI
123,Broombridge,Sandyford,16:42,17:31,00:49,20,MON-FRI
124,Parnell,Bride's Glen,16:50,17:44,00:54,20,MON-FRI
125,Broombridge,Sandyford,16:52,17:40,00:48,20,MON-FRI
126,Broombridge,Sandyford,16:59,17:48,00:49,20,MON-FRI
127,Parnell,Bride's Glen,17:00,17:54,00:54,20,MON-FRI
128,Broombridge,Sandyford,17:07,17:56,00:49,20,MON-FRI
129,Parnell,Bride's Glen,17:08,18:02,00:54,20,MON-FRI
130,Broombridge,Sandyford,17:15,18:04,00:49,20,MON-FRI
131,Parnell,Bride's Glen,17:16,18:10,00:54,20,MON-FRI
132,Broombridge,Sandyford,17:23,18:12,00:49,20,MON-FRI
133,Parnell,Bride's Glen,17:24,18:18,00:54,20,MON-FRI
134,Broombridge,Sandyford,17:31,18:20,00:49,20,MON-FRI
135,Parnell,Bride's Glen,17:32,18:26,00:54,20,MON-FRI
136,Broombridge,Sandyford,17:39,18:28,00:49,20,MON-FRI
137,Parnell,Bride's Glen,17:40,18:34,00:54,20,MON-FRI
138,Broombridge,Sandyford,17:47,18:36,00:49,20,MON-FRI
139,Parnell,Bride's Glen,17:48,18:42,00:54,20,MON-FRI
140,Parnell,Bride's Glen,17:56,18:50,00:54,20,MON-FRI
